Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-APRIL-2023,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,13762,0,0,0,0,0,3865,0,0,0,0,0,822,2,2759,0,0,802
MSitAE-APRIL-2023,RYY,NHS ENGLAND SOUTH EAST ,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,8675,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2023,Y02147,NHS ENGLAND LONDON,URGENT CARE CENTRE (QMS),0,0,7036,0,0,588,0,0,377,0,0,3,0,0,0,0,0,0
MSitAE-APRIL-2023,Y02532,NHS ENGLAND NORTH WEST ,MIRIAM MINOR EMERGENCY,0,0,1742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2023,C82009,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH MED.CTR,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2023,C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2023,NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2023,NQT51,NHS ENGLAND SOUTH EAST ,STATION PLAZA HEALTH CENTRE,0,0,1499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2023,RW1,NHS ENGLAND SOUTH EAST ,SOUTHERN HEALTH NHS FOUNDATION TRUST,0,0,2572,0,0,0,0,0,29,0,0,0,0,0,0,0,6,153
MSitAE-APRIL-2023,RXG,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136
MSitAE-APRIL-2023,RXL,NHS ENGLAND NORTH WEST ,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,8237,0,10625,234,0,246,3562,0,52,39,0,0,676,698,2457,0,0,1397
MSitAE-APRIL-2023,Y00751,NHS ENGLAND SOUTH EAST ,EAST BERKS PRIMARY CARE OOH(WAM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2023,Y02428,NHS ENGLAND EAST OF ENGLAND ,PUTNOE MEDICAL CENTRE WALK IN CENTRE,0,0,2656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2023,Y02676,NHS ENGLAND SOUTH EAST ,BRIGHTON STATION HEALTH CENTRE,0,0,1670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2023,AD913,NHS ENGLAND LONDON,BECKENHAM BEACON UCC,0,0,3093,0,0,328,0,0,65,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2023,AJN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,WORKINGTON HEALTH LIMITED,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0
MSitAE-APRIL-2023,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0,0,2491,0,0,106,0,0,41,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2023,AXG,NHS ENGLAND SOUTH WEST ,WILTSHIRE HEALTH & CARE,0,0,2032,0,0,53,0,0,49,0,0,1,0,0,0,0,0,0
MSitAE-APRIL-2023,L83087,NHS ENGLAND SOUTH WEST ,OKEHAMPTON MEDICAL CENTRE,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2023,RA9,NHS ENGLAND SOUTH WEST ,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,5853,0,3002,123,0,0,3305,0,64,63,0,0,620,82,1756,0,0,919
MSitAE-APRIL-2023,RAT,NHS ENGLAND LONDON,NORTH EAST LONDON NHS FOUNDATION TRUST,0,0,1864,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2023,RAX,NHS ENGLAND LONDON,KINGSTON HOSPITAL NHS FOUNDATION TRUST,6486,0,2651,0,0,0,3040,0,146,0,0,0,220,415,1725,0,115,505
