Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-AUGUST-2022,RGP,NHS ENGLAND EAST OF ENGLAND ,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6489,0,1345,110,0,0,2696,0,0,42,0,0,462,347,1561,0,0,503
MSitAE-AUGUST-2022,Y00751,NHS ENGLAND SOUTH EAST ,EAST BERKS PRIMARY CARE OOH(WAM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2022,C82010,NHS ENGLAND MIDLANDS ,OAKHAM MEDICAL PRACTICE,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2022,NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2022,NTV0B,NHS ENGLAND SOUTH EAST ,ASHFORD WALK-IN-CENTRE,0,0,2552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2022,NTV0W,NHS ENGLAND SOUTH EAST ,WOKING WALK IN CENTRE,0,0,3074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2022,R0D,NHS ENGLAND SOUTH WEST ,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,13379,0,0,201,0,0,0,0,0,0,0,0,922,95,3557,8,0,1827
MSitAE-AUGUST-2022,RDY,NHS ENGLAND SOUTH WEST ,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MSitAE-AUGUST-2022,RET,NHS ENGLAND NORTH WEST ,THE WALTON CENTRE NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165
MSitAE-AUGUST-2022,RW1,NHS ENGLAND SOUTH EAST ,SOUTHERN HEALTH NHS FOUNDATION TRUST,0,0,2177,0,0,0,0,0,55,0,0,0,0,0,0,0,4,164
MSitAE-AUGUST-2022,RY7,NHS ENGLAND NORTH WEST ,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,0,0,4611,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2022,Y04538,NHS ENGLAND SOUTH EAST ,BRACKNELL URGENT CARE CENTRE WIC,0,0,2810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2022,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2022,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0,0,2632,0,0,50,0,0,11,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2022,C82009,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH MED.CTR,0,0,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2022,NL7,NHS ENGLAND MIDLANDS ,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),0,0,3462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2022,RBQ,NHS ENGLAND NORTH WEST ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114
MSitAE-AUGUST-2022,RFF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,8194,0,0,130,0,0,2338,0,0,0,0,0,249,0,2405,0,0,548
MSitAE-AUGUST-2022,RHU,NHS ENGLAND SOUTH EAST ,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,9085,698,2994,468,0,237,0,0,0,0,0,0,1552,0,3141,0,0,2324
MSitAE-AUGUST-2022,RWE,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,18662,1696,0,0,0,0,8711,68,0,0,0,0,1411,890,4387,3,0,3030
MSitAE-AUGUST-2022,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,14295,0,0,0,0,0,3821,0,0,0,0,0,723,0,2992,0,0,918
MSitAE-AUGUST-2022,RXQ,NHS ENGLAND SOUTH EAST ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,7711,1124,2225,0,0,0,3039,0,43,0,0,0,618,0,3367,753,0,1009
MSitAE-AUGUST-2022,Y02615,NHS ENGLAND MIDLANDS ,SOUTH BIRMINGHAM GP WALK IN CENTRE,0,0,5345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2022,AJN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,WORKINGTON HEALTH LIMITED,0,0,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2022,L83087,NHS ENGLAND SOUTH WEST ,OKEHAMPTON MEDICAL CENTRE,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
