Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-AUGUST-2023,L83087,NHS ENGLAND SOUTH WEST ,OKEHAMPTON MEDICAL CENTRE,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2023,RW1,NHS ENGLAND SOUTH EAST ,SOUTHERN HEALTH NHS FOUNDATION TRUST,0,0,2664,0,0,0,0,0,18,0,0,0,0,0,0,0,3,157
MSitAE-AUGUST-2023,Y00751,NHS ENGLAND SOUTH EAST ,EAST BERKS PRIMARY CARE OOH(WAM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2023,8J094,NHS ENGLAND MIDLANDS ,BADGER LTD,0,0,0,0,0,2294,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2023,ACH01,NHS ENGLAND SOUTH EAST ,WHITSTABLE MEDICAL PRACTICE,0,0,4704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2023,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0,0,3057,0,0,30,0,0,76,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2023,C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE,0,0,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2023,NQT51,NHS ENGLAND SOUTH EAST ,STATION PLAZA HEALTH CENTRE,0,0,1802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2023,NQTE4,NHS ENGLAND MIDLANDS ,SUMMERFIELD URGENT CARE CENTRE,0,0,4001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2023,RAT,NHS ENGLAND LONDON,NORTH EAST LONDON NHS FOUNDATION TRUST,0,0,1959,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2023,RXQ,NHS ENGLAND SOUTH EAST ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,8788,1220,3073,0,0,0,3327,0,87,0,0,0,375,234,3561,820,0,1149
MSitAE-AUGUST-2023,RY7,NHS ENGLAND NORTH WEST ,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,0,0,4690,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2023,Y02428,NHS ENGLAND EAST OF ENGLAND ,PUTNOE WALK IN CENTRE,0,0,2201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2023,Y02532,NHS ENGLAND NORTH WEST ,MIRIAM MINOR EMERGENCY,0,0,1735,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2023,Y02615,NHS ENGLAND MIDLANDS ,SOUTH BIRMINGHAM GP WALK IN CENTRE,0,0,6302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2023,Y03007,NHS ENGLAND MIDLANDS ,ERDINGTON GP HEALTH & WELLBEING WIC,0,0,0,0,0,1826,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2023,AJN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,WORKINGTON HEALTH LIMITED,0,0,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2023,NL7,NHS ENGLAND MIDLANDS ,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),0,0,4818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2023,RDY,NHS ENGLAND SOUTH WEST ,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
MSitAE-AUGUST-2023,RGP,NHS ENGLAND EAST OF ENGLAND ,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,7092,0,1320,119,0,0,2780,0,0,30,0,0,569,262,1585,0,0,507
MSitAE-AUGUST-2023,Y02147,NHS ENGLAND LONDON,URGENT CARE CENTRE (QMS),0,0,7147,0,0,491,0,0,315,0,0,6,0,0,0,0,0,0
MSitAE-AUGUST-2023,Y02676,NHS ENGLAND SOUTH EAST ,BRIGHTON STATION HEALTH CENTRE,0,0,1796,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2023,C82009,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH MED.CTR,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2023,DD401,NHS ENGLAND SOUTH WEST ,EXMOUTH MINOR INJURY UNIT,0,0,1249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2023,RBQ,NHS ENGLAND NORTH WEST ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189
MSitAE-AUGUST-2023,RJ1,NHS ENGLAND LONDON,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,11894,790,2179,0,0,1994,4095,0,7,0,0,0,22,58,3392,0,0,959
MSitAE-AUGUST-2023,RJN,NHS ENGLAND NORTH WEST ,EAST CHESHIRE NHS TRUST,4145,0,0,73,0,29,1596,0,0,0,0,0,251,119,924,0,0,161
MSitAE-AUGUST-2023,RXF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,MID YORKSHIRE TEACHING NHS TRUST,16154,0,6043,124,0,21,6237,0,347,11,0,1,2177,7,3592,0,171,791
MSitAE-AUGUST-2023,RY5,NHS ENGLAND MIDLANDS ,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,0,0,9017,0,0,0,0,0,470,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2023,C83023,NHS ENGLAND MIDLANDS ,SLEAFORD MEDICAL GROUP,0,0,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
MSitAE-AUGUST-2023,RJ2,NHS ENGLAND LONDON,LEWISHAM AND GREENWICH NHS TRUST,12161,0,10981,69,0,0,6048,0,1308,20,0,0,886,221,3530,0,0,1166
MSitAE-AUGUST-2023,RQX,NHS ENGLAND LONDON,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,9802,0,0,22,0,0,1390,0,0,0,0,0,150,28,1637,0,0,141
MSitAE-AUGUST-2023,RWG,NHS ENGLAND EAST OF ENGLAND ,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,7319,0,6363,0,0,1183,4461,0,131,0,0,4,1223,0,3027,0,0,742
MSitAE-AUGUST-2023,ARN03,NHS ENGLAND NORTH EAST AND YORKSHIRE ,LOCAL CARE DIRECT,0,0,2254,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2023,NTPAD,NHS ENGLAND SOUTH EAST ,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,0,0,5024,0,0,343,0,0,54,0,0,2,0,0,0,0,0,0
MSitAE-AUGUST-2023,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,4479,0,0,0,0,0,342,0,0,0,0,0,0,0,700,0,0,351
MSitAE-AUGUST-2023,RY9,NHS ENGLAND LONDON,HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST,0,0,4682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2023,NR3,NHS ENGLAND MIDLANDS ,NOTTINGHAM CITYCARE PARTNERSHIP,0,0,4674,0,0,254,0,0,192,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2023,RCX,NHS ENGLAND EAST OF ENGLAND ,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",6501,0,933,85,0,0,2733,0,0,15,0,0,670,418,1951,0,0,616
MSitAE-AUGUST-2023,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2023,R0B,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,11001,1452,5387,396,0,1215,3985,11,63,148,0,7,539,2,4416,20,0,1022
