Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-JANUARY-2022,C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2022,Y03218,NHS ENGLAND LONDON,THE PINN UNREGISTERED WIC,0,0,1837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2022,AJN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,WORKINGTON HEALTH LIMITED,0,0,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2022,C82009,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH MED.CTR,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2022,C82010,NHS ENGLAND MIDLANDS ,OAKHAM MEDICAL PRACTICE,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2022,C83023,NHS ENGLAND MIDLANDS ,SLEAFORD MEDICAL GROUP,0,0,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MSitAE-JANUARY-2022,NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2022,NQT10,NHS ENGLAND SOUTH EAST ,ASSURA READING LLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2022,NQT5F,NHS ENGLAND NORTH WEST ,SKELMERSDALE WALK IN CENTRE,0,0,1309,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2022,NQT5H,NHS ENGLAND SOUTH WEST ,PAULTON MEMORIAL HOSPITAL,0,0,529,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2022,RBQ,NHS ENGLAND NORTH WEST ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225
MSitAE-JANUARY-2022,REF,NHS ENGLAND SOUTH WEST ,ROYAL CORNWALL HOSPITALS NHS TRUST,4687,0,7868,0,0,0,2259,0,138,0,0,0,440,466,1590,0,24,1277
MSitAE-JANUARY-2022,RET,NHS ENGLAND NORTH WEST ,THE WALTON CENTRE NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148
MSitAE-JANUARY-2022,RJ8,NHS ENGLAND SOUTH WEST ,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,64
MSitAE-JANUARY-2022,RPA,NHS ENGLAND SOUTH EAST ,MEDWAY NHS FOUNDATION TRUST,7725,0,3290,550,0,1109,2697,0,682,103,0,0,600,74,2476,0,0,1102
MSitAE-JANUARY-2022,Y00751,NHS ENGLAND SOUTH EAST ,EAST BERKS PRIMARY CARE OOH(WAM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2022,Y02615,NHS ENGLAND MIDLANDS ,SOUTH BIRMINGHAM GP WALK IN CENTRE,0,0,6732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2022,Y02676,NHS ENGLAND SOUTH EAST ,BRIGHTON STATION HEALTH CENTRE,0,0,975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2022,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0,0,1637,0,0,116,0,0,18,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2022,NL7,NHS ENGLAND MIDLANDS ,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),0,0,3221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2022,NNJ,NHS ENGLAND MIDLANDS ,DHU HEALTH CARE C.I.C,0,0,1340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2022,NQTE4,NHS ENGLAND MIDLANDS ,SUMMERFIELD URGENT CARE CENTRE,0,0,3518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2022,R0D,NHS ENGLAND SOUTH WEST ,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,11861,950,1056,217,0,0,0,0,0,0,0,0,1016,58,3755,4,0,2086
MSitAE-JANUARY-2022,RDY,NHS ENGLAND SOUTH WEST ,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
MSitAE-JANUARY-2022,RL1,NHS ENGLAND MIDLANDS ,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
MSitAE-JANUARY-2022,RXQ,NHS ENGLAND SOUTH EAST ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,7760,1039,2211,2,0,0,2942,0,14,0,0,0,741,0,3196,766,0,629
MSitAE-JANUARY-2022,Y02147,NHS ENGLAND LONDON,URGENT CARE CENTRE (QMS),0,0,6397,0,0,585,0,0,169,0,0,3,0,0,0,0,0,0
MSitAE-JANUARY-2022,Y02532,NHS ENGLAND NORTH WEST ,MIRIAM MINOR EMERGENCY,0,0,1511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2022,NTP11,NHS ENGLAND SOUTH EAST ,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,0,0,4418,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2022,RGR,NHS ENGLAND EAST OF ENGLAND ,WEST SUFFOLK NHS FOUNDATION TRUST,6246,0,358,69,0,0,0,0,0,0,0,0,512,99,1606,0,0,497
MSitAE-JANUARY-2022,RJN,NHS ENGLAND NORTH WEST ,EAST CHESHIRE NHS TRUST,3760,0,0,51,0,20,1378,0,0,0,0,0,285,101,855,0,0,113
MSitAE-JANUARY-2022,RJR,NHS ENGLAND NORTH WEST ,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,6099,0,571,0,0,0,2324,0,1,0,0,0,560,0,1436,0,0,715
MSitAE-JANUARY-2022,RWF,NHS ENGLAND SOUTH EAST ,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,14307,0,1767,0,0,0,2591,0,9,0,0,0,0,11,4623,0,0,912
MSitAE-JANUARY-2022,RY9,NHS ENGLAND LONDON,HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST,0,0,3197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2022,G82071,NHS ENGLAND SOUTH EAST ,WHITSTABLE MEDICAL PRACTICE,0,0,3212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2022,RNA,NHS ENGLAND MIDLANDS ,THE DUDLEY GROUP NHS FOUNDATION TRUST,8479,0,4466,225,0,995,2822,0,194,22,0,0,970,19,2796,0,0,1487
