Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-JANUARY-2023,RAT,NHS ENGLAND LONDON,NORTH EAST LONDON NHS FOUNDATION TRUST,0,0,2389,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2023,RYY,NHS ENGLAND SOUTH EAST ,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,7908,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2023,8J094,NHS ENGLAND MIDLANDS ,BADGER LTD,0,0,0,0,0,1943,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2023,AJN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,WORKINGTON HEALTH LIMITED,0,0,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2023,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0,0,2166,0,0,104,0,0,40,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2023,C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2023,C83023,NHS ENGLAND MIDLANDS ,SLEAFORD MEDICAL GROUP,0,0,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MSitAE-JANUARY-2023,L83087,NHS ENGLAND SOUTH WEST ,OKEHAMPTON MEDICAL CENTRE,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2023,NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,1716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2023,NQT10,NHS ENGLAND SOUTH EAST ,ASSURA READING LLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2023,NQT51,NHS ENGLAND SOUTH EAST ,STATION PLAZA HEALTH CENTRE,0,0,1732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2023,NQT5F,NHS ENGLAND NORTH WEST ,SKELMERSDALE WALK IN CENTRE,0,0,1918,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2023,NQT5H,NHS ENGLAND SOUTH WEST ,PAULTON MEMORIAL HOSPITAL,0,0,690,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2023,NTP11,NHS ENGLAND SOUTH EAST ,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,0,0,5006,0,0,0,0,0,484,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2023,NTV0B,NHS ENGLAND SOUTH EAST ,ASHFORD WALK-IN-CENTRE,0,0,2688,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2023,NTV0W,NHS ENGLAND SOUTH EAST ,WOKING WALK IN CENTRE,0,0,3108,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2023,RDY,NHS ENGLAND SOUTH WEST ,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
MSitAE-JANUARY-2023,RFF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,7307,0,0,490,0,0,2646,0,0,0,0,0,461,24,2493,0,0,601
MSitAE-JANUARY-2023,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,13242,0,0,0,0,0,3860,0,0,0,0,0,948,7,3061,0,0,1033
MSitAE-JANUARY-2023,Y00751,NHS ENGLAND SOUTH EAST ,EAST BERKS PRIMARY CARE OOH(WAM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2023,Y02532,NHS ENGLAND NORTH WEST ,MIRIAM MINOR EMERGENCY,0,0,2180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2023,Y03007,NHS ENGLAND MIDLANDS ,ERDINGTON GP HEALTH & WELLBEING WIC,0,0,0,0,0,1978,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2023,NL7,NHS ENGLAND MIDLANDS ,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),0,0,5015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2023,NQTE4,NHS ENGLAND MIDLANDS ,SUMMERFIELD URGENT CARE CENTRE,0,0,4061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2023,RBQ,NHS ENGLAND NORTH WEST ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143
MSitAE-JANUARY-2023,DD401,NHS ENGLAND SOUTH WEST ,EXMOUTH MINOR INJURY UNIT,0,0,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
