Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-JULY-2022,C82009,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH MED.CTR,0,0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2022,Y02532,NHS ENGLAND NORTH WEST ,MIRIAM MINOR EMERGENCY,0,0,1862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2022,8J094,NHS ENGLAND MIDLANDS ,BADGER LTD,0,0,0,0,0,1987,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2022,C82010,NHS ENGLAND MIDLANDS ,OAKHAM MEDICAL PRACTICE,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2022,NQT10,NHS ENGLAND SOUTH EAST ,ASSURA READING LLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2022,NQT5F,NHS ENGLAND NORTH WEST ,SKELMERSDALE WALK IN CENTRE,0,0,1965,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2022,NQT5H,NHS ENGLAND SOUTH WEST ,PAULTON MEMORIAL HOSPITAL,0,0,755,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2022,RGP,NHS ENGLAND EAST OF ENGLAND ,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6569,0,1275,107,0,0,2393,0,6,31,0,0,512,284,1588,0,0,476
MSitAE-JULY-2022,RY7,NHS ENGLAND NORTH WEST ,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,0,0,4858,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2022,Y02615,NHS ENGLAND MIDLANDS ,SOUTH BIRMINGHAM GP WALK IN CENTRE,0,0,6462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2022,Y03007,NHS ENGLAND MIDLANDS ,ERDINGTON GP HEALTH & WELLBEING WIC,0,0,0,0,0,1942,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2022,AD913,NHS ENGLAND LONDON,BECKENHAM BEACON UCC,0,0,3844,0,0,140,0,0,140,0,0,11,0,0,0,0,0,0
MSitAE-JULY-2022,C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE,0,0,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2022,L83087,NHS ENGLAND SOUTH WEST ,OKEHAMPTON MEDICAL CENTRE,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2022,NNJ,NHS ENGLAND MIDLANDS ,DHU HEALTH CARE C.I.C,0,0,1887,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2022,NTV0B,NHS ENGLAND SOUTH EAST ,ASHFORD WALK-IN-CENTRE,0,0,2947,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2022,NTV0W,NHS ENGLAND SOUTH EAST ,WOKING WALK IN CENTRE,0,0,3210,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2022,RYY,NHS ENGLAND SOUTH EAST ,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,7922,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2022,AJN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,WORKINGTON HEALTH LIMITED,0,0,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2022,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0,0,2609,0,0,80,0,0,185,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2022,NQTE4,NHS ENGLAND MIDLANDS ,SUMMERFIELD URGENT CARE CENTRE,0,0,4206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2022,RNU,NHS ENGLAND SOUTH EAST ,OXFORD HEALTH NHS FOUNDATION TRUST,0,0,3461,0,0,0,0,0,386,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2022,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,15154,0,0,0,0,0,4164,0,0,0,0,0,743,2,2991,0,0,886
MSitAE-JULY-2022,RXK,NHS ENGLAND MIDLANDS ,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,15345,935,10075,642,0,0,7449,124,311,57,0,0,1885,22,3149,0,0,471
MSitAE-JULY-2022,RY4,NHS ENGLAND EAST OF ENGLAND ,HERTFORDSHIRE COMMUNITY NHS TRUST,0,0,939,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2022,Y03218,NHS ENGLAND LONDON,THE PINN UNREGISTERED WIC,0,0,2272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2022,NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,1767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2022,RBQ,NHS ENGLAND NORTH WEST ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
MSitAE-JULY-2022,RFF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,8363,0,0,493,0,0,3265,0,0,0,0,0,356,0,2439,0,0,559
MSitAE-JULY-2022,RJR,NHS ENGLAND NORTH WEST ,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,6907,0,520,0,0,0,3326,0,5,0,0,0,662,444,1479,0,0,918
MSitAE-JULY-2022,RW1,NHS ENGLAND SOUTH EAST ,SOUTHERN HEALTH NHS FOUNDATION TRUST,0,0,2064,0,0,0,0,0,36,0,0,0,0,0,0,0,1,151
MSitAE-JULY-2022,RXQ,NHS ENGLAND SOUTH EAST ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,9416,1075,3032,0,0,0,3664,0,103,0,0,0,644,0,3582,750,0,956
MSitAE-JULY-2022,ARN03,NHS ENGLAND NORTH EAST AND YORKSHIRE ,LOCAL CARE DIRECT,0,0,1799,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2022,DD401,NHS ENGLAND SOUTH WEST ,EXMOUTH MINOR INJURY UNIT,0,0,1462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2022,R0D,NHS ENGLAND SOUTH WEST ,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,14200,0,0,147,0,0,0,0,0,0,0,0,892,83,3836,9,0,1958
MSitAE-JULY-2022,RAX,NHS ENGLAND LONDON,KINGSTON HOSPITAL NHS FOUNDATION TRUST,7199,0,3415,103,0,40,2844,0,140,26,0,3,225,544,1912,0,206,591
MSitAE-JULY-2022,RJZ,NHS ENGLAND LONDON,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,14667,0,8920,70,0,1112,8127,0,1885,35,0,288,1675,621,3627,0,0,658
MSitAE-JULY-2022,Y00751,NHS ENGLAND SOUTH EAST ,EAST BERKS PRIMARY CARE OOH(WAM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2022,AXG,NHS ENGLAND SOUTH WEST ,WILTSHIRE HEALTH & CARE,0,0,2262,0,0,103,0,0,88,0,0,2,0,0,0,0,0,0
MSitAE-JULY-2022,DT301,NHS ENGLAND EAST OF ENGLAND ,HERTS URGENT CARE (ASCOTS LANE),0,0,2579,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2022,NNF09,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRANSHOLME HEALTH CENTRE,0,0,4016,0,0,0,0,0,956,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2022,NNF76,NHS ENGLAND NORTH EAST AND YORKSHIRE ,THE WILBERFORCE HEALTH CENTRE,0,0,2525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2022,NNF94,NHS ENGLAND NORTH EAST AND YORKSHIRE ,EAST RIDING COMMUNITY HOSPITAL,0,0,2763,0,0,0,0,0,442,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2022,NNFA7,NHS ENGLAND NORTH EAST AND YORKSHIRE ,GOOLE & DISTRICT HOSPITAL,0,0,1473,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2022,NR3,NHS ENGLAND MIDLANDS ,NOTTINGHAM CITYCARE PARTNERSHIP,0,0,4974,0,0,223,0,0,831,0,0,1,0,0,0,0,0,0
MSitAE-JULY-2022,R0B,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,11910,1318,6823,518,0,189,4637,9,211,223,0,9,613,0,4539,22,0,1151
MSitAE-JULY-2022,RAN,NHS ENGLAND LONDON,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
MSitAE-JULY-2022,RAT,NHS ENGLAND LONDON,NORTH EAST LONDON NHS FOUNDATION TRUST,0,0,2347,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2022,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,5551,0,0,0,0,0,1331,0,0,0,0,0,0,0,1016,0,0,223
