Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-JUNE-2023,ACH01,NHS ENGLAND SOUTH EAST ,WHITSTABLE MEDICAL PRACTICE,0,0,4666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2023,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,15048,0,0,0,0,0,4214,0,0,0,0,0,964,1,2899,0,0,920
MSitAE-JUNE-2023,C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE,0,0,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2023,NL7,NHS ENGLAND MIDLANDS ,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),0,0,4813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2023,NQT5F,NHS ENGLAND NORTH WEST ,SKELMERSDALE WALK IN CENTRE,0,0,1903,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2023,NQT5H,NHS ENGLAND SOUTH WEST ,PAULTON MEMORIAL HOSPITAL,0,0,1045,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2023,NQTE4,NHS ENGLAND MIDLANDS ,SUMMERFIELD URGENT CARE CENTRE,0,0,3872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2023,NTP11,NHS ENGLAND SOUTH EAST ,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,0,0,5526,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2023,RFF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,8377,0,0,369,0,0,2692,0,0,0,0,0,235,0,2504,0,0,572
MSitAE-JUNE-2023,RJ8,NHS ENGLAND SOUTH WEST ,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,51
MSitAE-JUNE-2023,RW1,NHS ENGLAND SOUTH EAST ,SOUTHERN HEALTH NHS FOUNDATION TRUST,0,0,2954,0,0,0,0,0,22,0,0,0,0,0,0,0,6,155
MSitAE-JUNE-2023,RXG,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137
MSitAE-JUNE-2023,Y02428,NHS ENGLAND EAST OF ENGLAND ,PUTNOE WALK IN CENTRE,0,0,2249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2023,Y02615,NHS ENGLAND MIDLANDS ,SOUTH BIRMINGHAM GP WALK IN CENTRE,0,0,7819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2023,Y04538,NHS ENGLAND SOUTH EAST ,BRACKNELL URGENT CARE CENTRE WIC,0,0,2811,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2023,AD913,NHS ENGLAND LONDON,BECKENHAM BEACON UCC,0,0,3558,0,0,249,0,0,41,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2023,L83087,NHS ENGLAND SOUTH WEST ,OKEHAMPTON MEDICAL CENTRE,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2023,RDY,NHS ENGLAND SOUTH WEST ,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
MSitAE-JUNE-2023,RLQ,NHS ENGLAND MIDLANDS ,WYE VALLEY NHS TRUST,5905,0,0,122,0,0,2430,0,0,24,0,0,177,259,1601,0,0,549
MSitAE-JUNE-2023,RV9,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HUMBER TEACHING NHS FOUNDATION TRUST,0,0,1033,0,0,37,0,0,4,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2023,RWA,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,10801,0,0,0,0,0,5209,0,0,0,0,0,1003,240,3307,0,0,1696
MSitAE-JUNE-2023,RXK,NHS ENGLAND MIDLANDS ,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,14690,1432,9310,821,0,0,6906,232,288,191,0,0,1163,32,2956,0,0,540
