Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-MARCH-2022,8J094,NHS ENGLAND MIDLANDS ,BADGER LTD,0,0,0,0,0,1152,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2022,Y03007,NHS ENGLAND MIDLANDS ,ERDINGTON GP HEALTH & WELLBEING WIC,0,0,0,0,0,1601,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2022,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0,0,2014,0,0,89,0,0,52,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2022,C82009,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH MED.CTR,0,0,0,0,0,329,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2022,NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,1344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2022,NQTE4,NHS ENGLAND MIDLANDS ,SUMMERFIELD URGENT CARE CENTRE,0,0,4407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2022,RDY,NHS ENGLAND SOUTH WEST ,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2022,RFF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,8537,0,0,484,0,0,3176,0,0,0,0,0,377,0,2524,0,0,467
MSitAE-MARCH-2022,RYY,NHS ENGLAND SOUTH EAST ,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,6081,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2022,Y02615,NHS ENGLAND MIDLANDS ,SOUTH BIRMINGHAM GP WALK IN CENTRE,0,0,7702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2022,Y03218,NHS ENGLAND LONDON,THE PINN UNREGISTERED WIC,0,0,2110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2022,RL1,NHS ENGLAND MIDLANDS ,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
MSitAE-MARCH-2022,AJN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,WORKINGTON HEALTH LIMITED,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2022,ARN03,NHS ENGLAND NORTH EAST AND YORKSHIRE ,LOCAL CARE DIRECT,0,0,1357,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2022,C83023,NHS ENGLAND MIDLANDS ,SLEAFORD MEDICAL GROUP,0,0,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
MSitAE-MARCH-2022,RBZ,NHS ENGLAND SOUTH WEST ,NORTHERN DEVON HEALTHCARE NHS TRUST,4279,0,0,346,0,0,1291,0,0,52,0,0,351,22,1070,0,0,407
MSitAE-MARCH-2022,REF,NHS ENGLAND SOUTH WEST ,ROYAL CORNWALL HOSPITALS NHS TRUST,5119,0,9536,0,0,0,2880,0,315,0,0,0,363,759,1636,0,21,1049
MSitAE-MARCH-2022,RHU,NHS ENGLAND SOUTH EAST ,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,8445,671,2325,1357,0,231,0,0,0,0,0,0,1816,0,3223,0,0,2941
MSitAE-MARCH-2022,RJ8,NHS ENGLAND SOUTH WEST ,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,68
MSitAE-MARCH-2022,RJR,NHS ENGLAND NORTH WEST ,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,7043,0,720,0,0,0,2922,0,4,0,0,0,619,0,1528,0,0,920
MSitAE-MARCH-2022,RNU,NHS ENGLAND SOUTH EAST ,OXFORD HEALTH NHS FOUNDATION TRUST,0,0,3198,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2022,RR7,NHS ENGLAND NORTH EAST AND YORKSHIRE ,GATESHEAD HEALTH NHS FOUNDATION TRUST,5764,0,3358,7,0,24,2054,0,25,3,0,0,938,5,1667,0,0,798
MSitAE-MARCH-2022,RY8,NHS ENGLAND MIDLANDS ,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0,0,5213,0,0,1663,0,0,0,0,0,2,0,0,0,0,0,0
MSitAE-MARCH-2022,Y02147,NHS ENGLAND LONDON,URGENT CARE CENTRE (QMS),0,0,7486,0,0,478,0,0,281,0,0,1,0,0,0,0,0,0
MSitAE-MARCH-2022,C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE,0,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
