Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-MARCH-2023,C82009,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH MED.CTR,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2023,C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE,0,0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2023,L83087,NHS ENGLAND SOUTH WEST ,OKEHAMPTON MEDICAL CENTRE,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2023,NQT51,NHS ENGLAND SOUTH EAST ,STATION PLAZA HEALTH CENTRE,0,0,1404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2023,NR3,NHS ENGLAND MIDLANDS ,NOTTINGHAM CITYCARE PARTNERSHIP,0,0,5167,0,0,275,0,0,558,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2023,RV9,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HUMBER TEACHING NHS FOUNDATION TRUST,0,0,897,0,0,30,0,0,1,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2023,RW1,NHS ENGLAND SOUTH EAST ,SOUTHERN HEALTH NHS FOUNDATION TRUST,0,0,2456,0,0,0,0,0,16,0,0,0,0,0,0,0,5,192
MSitAE-MARCH-2023,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,14376,0,0,0,0,0,4895,0,0,0,0,0,1305,2,3033,0,0,902
MSitAE-MARCH-2023,RYY,NHS ENGLAND SOUTH EAST ,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,9198,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2023,Y02147,NHS ENGLAND LONDON,URGENT CARE CENTRE (QMS),0,0,8052,0,0,551,0,0,531,0,0,4,0,0,0,0,0,0
MSitAE-MARCH-2023,Y02428,NHS ENGLAND EAST OF ENGLAND ,PUTNOE MEDICAL CENTRE WALK IN CENTRE,0,0,2950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2023,Y02615,NHS ENGLAND MIDLANDS ,SOUTH BIRMINGHAM GP WALK IN CENTRE,0,0,8276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2023,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,310,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
