Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-MAY-2022,AJN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,WORKINGTON HEALTH LIMITED,0,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2022,C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE,0,0,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2022,RAT,NHS ENGLAND LONDON,NORTH EAST LONDON NHS FOUNDATION TRUST,0,0,2742,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2022,Y00751,NHS ENGLAND SOUTH EAST ,EAST BERKS PRIMARY CARE OOH(WAM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2022,Y02615,NHS ENGLAND MIDLANDS ,SOUTH BIRMINGHAM GP WALK IN CENTRE,0,0,7669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2022,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,288,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2022,AD913,NHS ENGLAND LONDON,BECKENHAM BEACON UCC,0,0,3782,0,0,236,0,0,178,0,0,22,0,0,0,0,0,0
MSitAE-MAY-2022,C82010,NHS ENGLAND MIDLANDS ,OAKHAM MEDICAL PRACTICE,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2022,L83087,NHS ENGLAND SOUTH WEST ,OKEHAMPTON MEDICAL CENTRE,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2022,NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,1633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2022,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,15221,0,0,0,0,0,3676,0,0,0,0,0,672,1,2992,0,0,911
MSitAE-MAY-2022,RYY,NHS ENGLAND SOUTH EAST ,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,7336,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2022,Y02532,NHS ENGLAND NORTH WEST ,MIRIAM MINOR EMERGENCY,0,0,1788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2022,Y03218,NHS ENGLAND LONDON,THE PINN UNREGISTERED WIC,0,0,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2022,NL7,NHS ENGLAND MIDLANDS ,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),0,0,4583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2022,NQT10,NHS ENGLAND SOUTH EAST ,ASSURA READING LLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2022,NQT5F,NHS ENGLAND NORTH WEST ,SKELMERSDALE WALK IN CENTRE,0,0,1813,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2022,NQT5H,NHS ENGLAND SOUTH WEST ,PAULTON MEMORIAL HOSPITAL,0,0,671,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2022,NQTE4,NHS ENGLAND MIDLANDS ,SUMMERFIELD URGENT CARE CENTRE,0,0,4714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2022,RDY,NHS ENGLAND SOUTH WEST ,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MSitAE-MAY-2022,RGP,NHS ENGLAND EAST OF ENGLAND ,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6729,0,1215,145,0,0,2402,0,2,38,0,0,481,201,1573,0,0,455
MSitAE-MAY-2022,RJR,NHS ENGLAND NORTH WEST ,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,7322,0,401,0,0,0,3160,0,1,0,0,0,657,545,1466,0,0,841
MSitAE-MAY-2022,C83023,NHS ENGLAND MIDLANDS ,SLEAFORD MEDICAL GROUP,0,0,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
MSitAE-MAY-2022,NTV0B,NHS ENGLAND SOUTH EAST ,ASHFORD WALK-IN-CENTRE,0,0,2946,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2022,RA4,NHS ENGLAND SOUTH WEST ,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,5511,0,0,0,0,0,853,0,0,0,0,0,75,0,1734,0,0,355
MSitAE-MAY-2022,RBQ,NHS ENGLAND NORTH WEST ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159
MSitAE-MAY-2022,RCD,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,4698,0,793,81,0,58,1777,0,0,33,0,0,250,18,1130,0,0,406
MSitAE-MAY-2022,RCU,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,5431,0,164,292,0,8,392,0,0,17,0,0,0,0,880,0,0,242
MSitAE-MAY-2022,RET,NHS ENGLAND NORTH WEST ,THE WALTON CENTRE NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158
MSitAE-MAY-2022,RXK,NHS ENGLAND MIDLANDS ,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,15430,1512,10584,627,0,0,6776,248,255,50,0,0,1551,12,3191,0,0,482
MSitAE-MAY-2022,Y04538,NHS ENGLAND SOUTH EAST ,BRACKNELL URGENT CARE CENTRE WIC,0,0,3462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2022,NTV0W,NHS ENGLAND SOUTH EAST ,WOKING WALK IN CENTRE,0,0,3139,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2022,R1D,NHS ENGLAND MIDLANDS ,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,0,0,3039,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
MSitAE-MAY-2022,RA9,NHS ENGLAND SOUTH WEST ,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,5774,0,2884,137,0,0,3604,0,50,76,0,0,649,71,1776,0,0,1246
MSitAE-MAY-2022,RFS,NHS ENGLAND MIDLANDS ,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,3329,0,5153,110,0,160,1174,0,576,16,0,22,464,1,1970,0,608,667
MSitAE-MAY-2022,RHU,NHS ENGLAND SOUTH EAST ,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,8706,701,2588,1296,0,303,0,0,0,0,0,0,1619,0,3275,0,0,2388
MSitAE-MAY-2022,RNA,NHS ENGLAND MIDLANDS ,THE DUDLEY GROUP NHS FOUNDATION TRUST,9753,0,5192,198,0,1501,3376,0,403,33,0,0,478,79,3152,0,0,1502
MSitAE-MAY-2022,RNU,NHS ENGLAND SOUTH EAST ,OXFORD HEALTH NHS FOUNDATION TRUST,0,0,3361,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2022,RQX,NHS ENGLAND LONDON,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,10814,0,0,353,0,0,2070,0,0,0,0,0,185,15,1587,0,0,175
MSitAE-MAY-2022,RW1,NHS ENGLAND SOUTH EAST ,SOUTHERN HEALTH NHS FOUNDATION TRUST,0,0,1974,0,0,0,0,0,49,0,0,0,0,0,0,0,2,164
MSitAE-MAY-2022,ARN03,NHS ENGLAND NORTH EAST AND YORKSHIRE ,LOCAL CARE DIRECT,0,0,1702,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2022,Y02676,NHS ENGLAND SOUTH EAST ,BRIGHTON STATION HEALTH CENTRE,0,0,1348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2022,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0,0,2268,0,0,112,0,0,42,0,0,0,0,0,0,0,0,0
