Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-DECEMBER-2023,RK9,NHS ENGLAND SOUTH WEST ,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,8856,121,3572,0,0,0,5488,0,354,0,0,0,670,607,2961,0,0,1117
MSitAE-DECEMBER-2023,Y02147,NHS ENGLAND LONDON,URGENT CARE CENTRE (QMS),0,0,8174,0,0,0,0,0,361,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2023,8J094,NHS ENGLAND MIDLANDS ,BADGER LTD,0,0,0,0,0,2285,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2023,AD913,NHS ENGLAND LONDON,BECKENHAM BEACON UCC,0,0,3626,0,0,275,0,0,192,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2023,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0,0,2526,0,0,11,0,0,14,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2023,C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2023,C83023,NHS ENGLAND MIDLANDS ,SLEAFORD MEDICAL GROUP,0,0,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2023,L83087,NHS ENGLAND SOUTH WEST ,OKEHAMPTON MEDICAL CENTRE,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2023,NQTE4,NHS ENGLAND MIDLANDS ,SUMMERFIELD URGENT CARE CENTRE,0,0,3363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2023,RDY,NHS ENGLAND SOUTH WEST ,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
MSitAE-DECEMBER-2023,RNU,NHS ENGLAND SOUTH EAST ,OXFORD HEALTH NHS FOUNDATION TRUST,0,0,2095,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2023,RV9,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HUMBER TEACHING NHS FOUNDATION TRUST,0,0,1016,0,0,40,0,0,2,0,0,0,0,0,0,0,0,0
