Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-NOVEMBER-2023,RAT,NHS ENGLAND LONDON,NORTH EAST LONDON NHS FOUNDATION TRUST,0,0,1795,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,RYY,NHS ENGLAND SOUTH EAST ,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,9578,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,Y02615,NHS ENGLAND MIDLANDS ,SOUTH BIRMINGHAM GP WALK IN CENTRE,0,0,6370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,AJN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,WORKINGTON HEALTH LIMITED,0,0,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0,0,2356,0,0,5,0,0,16,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,NL7,NHS ENGLAND MIDLANDS ,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),0,0,4161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,NQT5F,NHS ENGLAND NORTH WEST ,SKELMERSDALE WALK IN CENTRE,0,0,1875,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,NQT5H,NHS ENGLAND SOUTH WEST ,PAULTON MEMORIAL HOSPITAL,0,0,807,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,NQTE4,NHS ENGLAND MIDLANDS ,SUMMERFIELD URGENT CARE CENTRE,0,0,3218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,RDY,NHS ENGLAND SOUTH WEST ,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
MSitAE-NOVEMBER-2023,RJ8,NHS ENGLAND SOUTH WEST ,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,67
MSitAE-NOVEMBER-2023,RPC,NHS ENGLAND SOUTH EAST ,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,0,0,1494,0,0,0,0,0,10,0,0,0,0,0,0,0,0,501
MSitAE-NOVEMBER-2023,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,14428,0,0,0,0,0,4804,0,0,0,0,0,1374,1,2993,0,0,819
MSitAE-NOVEMBER-2023,Y00751,NHS ENGLAND SOUTH EAST ,EAST BERKS PRIMARY CARE OOH(WAM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,Y02532,NHS ENGLAND NORTH WEST ,MIRIAM MINOR EMERGENCY,0,0,1747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,ACH01,NHS ENGLAND SOUTH EAST ,WHITSTABLE MEDICAL PRACTICE,0,0,4509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,NQT51,NHS ENGLAND SOUTH EAST ,STATION PLAZA HEALTH CENTRE,0,0,1674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,RW1,NHS ENGLAND SOUTH EAST ,SOUTHERN HEALTH NHS FOUNDATION TRUST,0,0,2614,0,0,0,0,0,18,0,0,0,0,0,0,0,0,160
MSitAE-NOVEMBER-2023,RW4,NHS ENGLAND NORTH WEST ,MERSEY CARE NHS FOUNDATION TRUST,0,0,11150,0,0,0,0,0,1265,0,0,0,0,0,0,0,0,80
MSitAE-NOVEMBER-2023,Y03218,NHS ENGLAND LONDON,THE PINN UNREGISTERED WIC,0,0,757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,RJN,NHS ENGLAND NORTH WEST ,EAST CHESHIRE NHS TRUST,4177,0,0,40,0,7,1996,0,0,0,0,0,288,253,986,0,0,194
MSitAE-NOVEMBER-2023,RXC,NHS ENGLAND SOUTH EAST ,EAST SUSSEX HEALTHCARE NHS TRUST,8874,0,2117,791,0,1149,4048,0,38,0,0,0,284,2,3341,0,0,602
MSitAE-NOVEMBER-2023,8J094,NHS ENGLAND MIDLANDS ,BADGER LTD,0,0,0,0,0,2082,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,L83087,NHS ENGLAND SOUTH WEST ,OKEHAMPTON MEDICAL CENTRE,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,RAJ,NHS ENGLAND EAST OF ENGLAND ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,31102,0,1509,607,0,15,11094,0,53,146,0,0,3077,14,8287,0,135,1281
MSitAE-NOVEMBER-2023,RJR,NHS ENGLAND NORTH WEST ,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,6288,0,432,0,0,0,3211,0,54,0,0,0,276,616,1621,0,0,1271
MSitAE-NOVEMBER-2023,RLT,NHS ENGLAND MIDLANDS ,GEORGE ELIOT HOSPITAL NHS TRUST,6544,0,1657,0,0,0,2168,0,40,0,0,0,783,43,904,0,0,20
MSitAE-NOVEMBER-2023,RQX,NHS ENGLAND LONDON,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,10152,0,0,27,0,0,1867,0,0,0,0,0,194,23,1784,0,0,296
MSitAE-NOVEMBER-2023,RXF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,MID YORKSHIRE TEACHING NHS TRUST,16566,0,5678,120,0,58,7373,0,349,12,0,0,2278,96,3611,0,134,989
MSitAE-NOVEMBER-2023,RY7,NHS ENGLAND NORTH WEST ,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,0,0,4434,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,Y03007,NHS ENGLAND MIDLANDS ,ERDINGTON GP HEALTH & WELLBEING WIC,0,0,0,0,0,2105,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,DD401,NHS ENGLAND SOUTH WEST ,EXMOUTH MINOR INJURY UNIT,0,0,853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,Y02147,NHS ENGLAND LONDON,URGENT CARE CENTRE (QMS),0,0,7876,0,0,39,0,0,356,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,AD913,NHS ENGLAND LONDON,BECKENHAM BEACON UCC,0,0,3502,0,0,221,0,0,115,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,RCU,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,5030,0,532,272,0,32,577,0,0,34,0,0,6,1,1137,0,0,85
MSitAE-NOVEMBER-2023,RJC,NHS ENGLAND MIDLANDS ,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,7726,0,339,16,0,0,2412,0,0,0,0,0,473,4,2366,0,0,739
MSitAE-NOVEMBER-2023,RK9,NHS ENGLAND SOUTH WEST ,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,8648,124,3720,0,0,0,5533,0,390,0,0,0,602,685,2752,0,0,1391
MSitAE-NOVEMBER-2023,RNU,NHS ENGLAND SOUTH EAST ,OXFORD HEALTH NHS FOUNDATION TRUST,0,0,3789,0,0,0,0,0,430,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,RXQ,NHS ENGLAND SOUTH EAST ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,9971,1276,3182,0,0,0,4288,0,154,0,0,0,352,322,3914,896,0,1301
MSitAE-NOVEMBER-2023,Y02676,NHS ENGLAND SOUTH EAST ,BRIGHTON STATION HEALTH CENTRE,0,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,AXG,NHS ENGLAND SOUTH WEST ,WILTSHIRE HEALTH & CARE,0,0,2012,0,0,67,0,0,23,0,0,2,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,NR3,NHS ENGLAND MIDLANDS ,NOTTINGHAM CITYCARE PARTNERSHIP,0,0,5085,0,0,268,0,0,1288,0,0,2,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,RBQ,NHS ENGLAND NORTH WEST ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166
MSitAE-NOVEMBER-2023,RGN,NHS ENGLAND EAST OF ENGLAND ,NORTH WEST ANGLIA NHS FOUNDATION TRUST,12899,0,4390,64,0,388,7091,0,735,29,0,42,450,864,3019,0,101,1403
MSitAE-NOVEMBER-2023,RGR,NHS ENGLAND EAST OF ENGLAND ,WEST SUFFOLK NHS FOUNDATION TRUST,6786,0,672,66,0,0,2922,0,0,0,0,0,507,371,1825,0,0,655
MSitAE-NOVEMBER-2023,RL1,NHS ENGLAND MIDLANDS ,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
MSitAE-NOVEMBER-2023,RLQ,NHS ENGLAND MIDLANDS ,WYE VALLEY NHS TRUST,5609,0,0,162,0,0,2493,0,0,51,0,0,401,249,1825,0,0,710
MSitAE-NOVEMBER-2023,RTP,NHS ENGLAND SOUTH EAST ,SURREY AND SUSSEX HEALTHCARE NHS TRUST,10240,0,0,0,0,0,3812,0,0,0,0,0,805,326,3227,0,0,994
MSitAE-NOVEMBER-2023,RV9,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HUMBER TEACHING NHS FOUNDATION TRUST,0,0,923,0,0,29,0,0,6,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,RWP,NHS ENGLAND MIDLANDS ,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,12074,0,5140,189,0,0,6451,0,15,71,0,0,1086,203,3439,0,0,1352
MSitAE-NOVEMBER-2023,RXG,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124
MSitAE-NOVEMBER-2023,RXL,NHS ENGLAND NORTH WEST ,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,7984,0,9782,248,0,171,3726,0,38,68,0,0,543,434,2466,0,0,1624
MSitAE-NOVEMBER-2023,RY8,NHS ENGLAND MIDLANDS ,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0,0,5756,0,0,1757,0,0,0,0,0,1,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,RYF,NHS ENGLAND SOUTH WEST ,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,0,0,1450,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,Y02428,NHS ENGLAND EAST OF ENGLAND ,PUTNOE WALK IN CENTRE,0,0,2634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,ARN03,NHS ENGLAND NORTH EAST AND YORKSHIRE ,LOCAL CARE DIRECT,0,0,2136,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,DT301,NHS ENGLAND EAST OF ENGLAND ,HERTS URGENT CARE (ASCOTS LANE),0,0,2198,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,NDA57,NHS ENGLAND SOUTH EAST ,HASLEMERE MINOR INJURIES UNIT,0,0,1273,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,NLX,NHS ENGLAND SOUTH WEST ,SIRONA CARE & HEALTH,0,0,7665,0,0,208,0,0,808,0,0,51,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,NNF09,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRANSHOLME HEALTH CENTRE,0,0,3786,0,0,0,0,0,689,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,NNF76,NHS ENGLAND NORTH EAST AND YORKSHIRE ,THE WILBERFORCE HEALTH CENTRE,0,0,2973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,NNF94,NHS ENGLAND NORTH EAST AND YORKSHIRE ,EAST RIDING COMMUNITY HOSPITAL,0,0,2421,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,NNFA7,NHS ENGLAND NORTH EAST AND YORKSHIRE ,GOOLE & DISTRICT HOSPITAL,0,0,1388,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,NNJ07,NHS ENGLAND MIDLANDS ,LOUGHBOROUGH URGENT CARE CENTRE,0,0,5299,0,0,782,0,0,7,0,0,1,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,NNJ0H,NHS ENGLAND MIDLANDS ,LLR EA - THE MERLYN VAZ HEALTH & SOCIAL CARE CENTRE,0,0,224,0,0,1755,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,NNJ12,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH,0,0,91,0,0,327,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,NNJ13,NHS ENGLAND MIDLANDS ,MELTON MOWBRAY,0,0,58,0,0,344,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,NNJ14,NHS ENGLAND MIDLANDS ,OADBY,0,0,875,0,0,1595,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,NNJ15,NHS ENGLAND MIDLANDS ,OAKHAM,0,0,66,0,0,321,0,0,0,0,0,1,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,NTP11,NHS ENGLAND SOUTH EAST ,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,0,0,5008,0,0,0,0,0,499,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,NTPAD,NHS ENGLAND SOUTH EAST ,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,0,0,5000,0,0,300,0,0,180,0,0,7,0,0,0,0,0,0
MSitAE-NOVEMBER-2023,RA2,NHS ENGLAND SOUTH EAST ,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,6500,0,0,571,0,0,3039,0,0,224,0,0,582,44,2169,0,0,1059
MSitAE-NOVEMBER-2023,RA9,NHS ENGLAND SOUTH WEST ,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,5892,0,2720,0,0,7,2814,0,32,0,0,0,660,141,2045,0,0,1153
MSitAE-NOVEMBER-2023,RBD,NHS ENGLAND SOUTH WEST ,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,4052,0,0,324,0,3284,1440,0,0,67,0,4,207,56,1732,0,0,583
MSitAE-NOVEMBER-2023,RCB,NHS ENGLAND NORTH EAST AND YORKSHIRE ,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,10087,374,8103,0,0,750,5845,0,310,0,0,3,881,882,4383,0,0,1582
MSitAE-NOVEMBER-2023,RD1,NHS ENGLAND SOUTH WEST ,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,8275,0,0,0,0,0,3152,0,0,0,0,0,683,11,2529,0,4,1607
MSitAE-NOVEMBER-2023,RDU,NHS ENGLAND SOUTH EAST ,FRIMLEY HEALTH NHS FOUNDATION TRUST,22419,0,0,0,0,0,9301,0,0,0,0,0,2347,11,6405,0,0,299
MSitAE-NOVEMBER-2023,REF,NHS ENGLAND SOUTH WEST ,ROYAL CORNWALL HOSPITALS NHS TRUST,5708,0,10246,0,0,0,3153,0,491,0,0,0,412,730,2003,0,54,1173
MSitAE-NOVEMBER-2023,REM,NHS ENGLAND NORTH WEST ,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,16733,226,7769,476,0,0,7769,0,1180,75,0,0,2040,1325,4938,0,0,2242
MSitAE-NOVEMBER-2023,REP,NHS ENGLAND NORTH WEST ,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,0,1253,0,0,143,0,0,147,0,0,0,0,0,0,0,87,0,27
