Year,Month,Region,Org Code,Org Name,R1r,R1n,R2r,R2n,M4b,M4n,K4b,K4n,K1n,K1m,K150,K190,R3s,R3n,R4s,R4n,R5b,R5n,R0n,R6s,R6n,R7s,R7n,SQU03_5_1_1,SQU03_5_1_2,SQU03_5_2_1,SQU03_5_2_2,SQU03_6_1_1,SQU03_6_1_2,M1n,M3n,M3m,M390,K2n,K2m,K250,K290,K3n,K3m,K350,K390,P1b,P1n
2011,4,Eng,Eng,England,423,1987,107,276,1002,1399,4581,4990,.,.,.,.,138,1906,50,256,.,.,.,.,.,.,.,36,52,775,839,1741,2626,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,4,North East and Yorkshire,Y63,North East and Yorkshire,46,329,15,59,166,211,1091,1179,.,.,.,.,20,329,9,59,.,.,.,.,.,.,.,0,3,150,168,437,554,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,4,North West,Y62,North West,56,219,14,32,160,202,285,297,.,.,.,.,17,163,7,21,.,.,.,.,.,.,.,17,25,59,59,148,188,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,4,Midlands,Y60,Midlands,66,287,13,34,122,177,986,1101,.,.,.,.,27,285,5,33,.,.,.,.,.,.,.,9,11,169,189,206,295,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,4,East of England,Y61,East of England,27,226,11,26,116,185,112,120,.,.,.,.,13,226,6,26,.,.,.,.,.,.,.,0,0,38,39,54,116,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,4,London,Y56,London,89,333,26,60,155,223,916,1003,.,.,.,.,28,329,14,59,.,.,.,.,.,.,.,0,0,94,98,277,423,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,4,South East,Y59,South East,93,403,17,42,103,161,498,519,.,.,.,.,28,384,5,35,.,.,.,.,.,.,.,2,2,176,190,349,563,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,4,South West,Y58,South West,46,190,11,23,180,240,693,771,.,.,.,.,5,190,4,23,.,.,.,.,.,.,.,8,11,89,96,270,487,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,4,Y63,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,14,89,8,37,56,65,279,325,.,.,.,.,5,89,5,37,.,.,.,.,.,.,.,0,0,105,120,149,164,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,4,Y62,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,56,219,14,32,160,202,285,297,.,.,.,.,17,163,7,21,.,.,.,.,.,.,.,17,25,59,59,148,188,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,4,Y63,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,32,240,7,22,110,146,812,854,.,.,.,.,15,240,4,22,.,.,.,.,.,.,.,0,3,45,48,288,390,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,4,Y60,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,16,96,2,9,70,98,273,300,.,.,.,.,5,94,2,8,.,.,.,.,.,.,.,4,5,72,77,45,86,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,4,Y60,RYA,WEST MIDLANDS AMBULANCE SERVICE NHS FOUNDATION TRUST,50,191,11,25,52,79,713,801,.,.,.,.,22,191,3,25,.,.,.,.,.,.,.,5,6,97,112,161,209,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,4,Y61,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,27,226,11,26,116,185,112,120,.,.,.,.,13,226,6,26,.,.,.,.,.,.,.,0,0,38,39,54,116,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,4,Y56,RRU,LONDON AMBULANCE SERVICE NHS TRUST,89,333,26,60,155,223,916,1003,.,.,.,.,28,329,14,59,.,.,.,.,.,.,.,0,0,94,98,277,423,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,4,Y59,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,64,240,13,28,78,116,408,427,.,.,.,.,18,221,5,21,.,.,.,.,.,.,.,1,1,95,98,240,366,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,4,Y59,R1F,ISLE OF WIGHT NHS TRUST,2,16,2,6,3,5,41,43,.,.,.,.,0,16,0,6,.,.,.,.,.,.,.,1,1,0,0,0,22,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,4,Y59,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,27,147,2,8,22,40,49,49,.,.,.,.,10,147,0,8,.,.,.,.,.,.,.,0,0,81,92,109,175,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,4,Y58,RX5,GREAT WESTERN AMBULANCE SERVICE NHS TRUST,17,89,5,13,28,34,112,112,.,.,.,.,2,89,2,13,.,.,.,.,.,.,.,0,0,40,41,43,66,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,4,Y58,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,29,101,6,10,152,206,581,659,.,.,.,.,3,101,2,10,.,.,.,.,.,.,.,8,11,49,55,227,421,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,5,Eng,Eng,England,477,1984,128,262,1012,1466,5364,5890,.,.,.,.,172,1892,71,250,.,.,.,.,.,.,.,31,48,787,885,1872,2848,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,5,North East and Yorkshire,Y63,North East and Yorkshire,62,218,30,53,200,248,1257,1362,.,.,.,.,23,218,19,53,.,.,.,.,.,.,.,0,1,129,153,456,596,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,5,North West,Y62,North West,63,229,15,33,156,210,332,347,.,.,.,.,19,177,9,29,.,.,.,.,.,.,.,16,23,67,72,171,195,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,5,Midlands,Y60,Midlands,74,288,15,39,114,176,1113,1247,.,.,.,.,31,284,9,39,.,.,.,.,.,.,.,8,12,212,229,220,308,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,5,East of England,Y61,East of England,36,270,10,31,139,235,395,447,.,.,.,.,16,259,7,30,.,.,.,.,.,.,.,1,1,58,62,136,235,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,5,London,Y56,London,109,340,25,37,143,222,939,1072,.,.,.,.,44,337,16,35,.,.,.,.,.,.,.,0,2,102,118,271,449,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2011,5,South East,Y59,South East,90,390,20,35,97,165,497,532,.,.,.,.,23,368,6,30,.,.,.,.,.,.,.,5,6,161,181,292,504,.,.,.,.,.,.,.,.,.,.,.,.,.,.
